,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
63,Jamna Auto,37,37.08,4.66,"['17.48', '5.07', '9.38', '11.21']","['12.57', '9.26', '26.97', '29.56']","['17.16', '14.69', '44.47', '43.02']"
64,WABCO India,96,120.41,6.26,"['77.44', '117.36', '--', '237.05']","['5.19', '8.38', '15.85', '17.87']","['7.66', '11.74', '22.63', '24.63']"
65,Endurance Techn,-112,39.41,5.74,"['48.83', '43.56', '30.30', '26.77']","['14.58', '18.81', '19.30', '17.98']","['16.69', '21.79', '25.97', '24.36']"
66,Bharat Gears,0,-8.53,0.93,"['0.57', '-0.15', '1.89', '1.55']","['-10.43', '-23.59', '14.15', '8.09']","['7.54', '-1.67', '21.58', '14.93']"
67,PTL Enterprises,0,1.83,0.85,"['8.98', '28.38', '31.39', '10.87']","['23.30', '28.82', '20.62', '25.83']","['7.56', '9.55', '8.93', '6.96']"
68,Pricol,37,18.37,1.63,"['2.13', '-0.14', '1.02', '0.06']","['7.90', '-24.85', '-34.81', '-7.35']","['11.06', '-0.83', '3.13', '-5.05']"
69,VST Tillers,5,17.06,2.31,"['78.28', '16.73', '32.84', '90.89']","['13.59', '3.12', '7.80', '18.77']","['16.98', '3.97', '11.47', '23.99']"
70,Rane Engine,23,-28.87,1.67,"['-2.90', '-1.41', '-1.07', '-1.79']","['-5.79', '-14.72', '-10.65', '-12.10']","['-13.69', '-9.29', '-6.05', '-7.31']"
71,Wheels,0,595.39,1.65,"['1.02', '1.53', '2.61', '3.04']","['0.27', '7.39', '11.89', '12.79']","['5.51', '9.94', '18.35', '9.32']"
72,SML Isuzu,-14,-4.91,2.56,"['-4.71', '-1.62', '2.51', '1.90']","['-52.23', '-5.47', '4.73', '2.13']","['-31.02', '-4.39', '7.01', '3.45']"
73,Kinetic Eng,0,0.00,9.20,"['0.03', '-0.38', '-0.36', '-0.57']","['-80.76', '-65.97', '-35.12', '-24.24']","['0.35', '-3.93', '-2.86', '-3.63']"
74,JTEKT India,6,175.31,3.44,"['5.34', '5.32', '8.83', '5.77']","['1.95', '5.08', '12.26', '11.71']","['3.84', '8.09', '20.05', '18.02']"
75,India Nippon,-9,21.05,1.85,"['91.17', '131.24', '1,018.91', '983.46']","['8.78', '12.94', '14.62', '14.54']","['10.91', '16.91', '20.67', '20.58']"
76,Sundaram Brake,-3,23.02,1.54,"['2.97', '2.96', '4.94', '2.99']","['6.65', '2.99', '8.60', '5.04']","['3.09', '4.27', '7.84', '5.74']"
77,Apollo Tyres,257,39.38,1.24,"['3.64', '2.94', '7.01', '7.21']","['3.06', '4.79', '6.77', '7.40']","['8.33', '4.70', '8.01', '4.76']"
78,JK Tyre & Ind,23,8.40,1.00,"['2.07', '1.16', '1.69', '1.25']","['11.94', '6.46', '7.71', '3.36']","['14.12', '9.73', '13.18', '1.08']"
79,Him Teknoforge,0,11.64,0.39,"['1.45', '1.30', '1.81', '1.75']","['3.33', '2.18', '12.47', '7.81']","['11.34', '10.54', '16.08', '15.87']"
80,Triton Valves,0,12.69,1.16,"['3.27', '2.56', '', '']","['9.11', '7.02', '', '']","['13.25', '14.45', '', '']"
81,Sibar Auto,0,-5.30,1.04,"['-3.05', '-4.85', '-4.46', '-1.41']","['-19.64', '-25.37', '-24.12', '-15.70']","['-11.35', '-17.21', '-16.27', '-5.65']"
82,ZF Steering Gea,0,0.00,0.92,"['24.31', '3.74', '28.36', '20.07']","['2.34', '-0.07', '-0.35', '12.43']","['1.84', '1.08', '14.08', '16.32']"
83,Lumax Auto Tech,-20,23.47,2.06,"['8.35', '7.80', '30.53', '32.64']","['8.88', '13.00', '13.72', '10.80']","['13.32', '13.66', '17.34', '15.24']"
84,Standard Batter,0,0.00,3.58,"['-261.80', '--', '--', '--']","['-5.33', '14.98', '18.37', '-1.17']","['-7.68', '-7.54', '16.42', '-3.62']"
85,Bharat Seats,0,40.42,1.67,"['2.56', '4.79', '11.34', '14.58']","['4.12', '11.04', '20.48', '32.52']","['7.26', '10.11', '24.51', '38.01']"
86,Tirupati Tyres,0,-1.26,0.84,"['--', '--', '--', '--']","['-66.78', '-9.72', '-17.20', '-0.06']","['-60.50', '-9.72', '-16.39', '-0.06']"
87,Machino Plastic,0,-13.00,1.27,"['0.20', '-0.11', '1.02', '1.24']","['-9.73', '-9.76', '0.79', '9.31']","['1.56', '-0.86', '5.99', '4.18']"
88,Balkrishna Ind,8,27.72,5.45,"['137.64', '129.04', '106.71', '81.46']","['19.62', '19.16', '16.62', '18.01']","['25.00', '21.88', '23.63', '25.46']"
89,Minda Ind,-58,70.13,6.55,"['5.39', '3.95', '8.20', '11.47']","['9.18', '8.56', '16.82', '22.28']","['11.50', '11.20', '18.80', '20.13']"
90,Precision Camsh,-1,-496.25,0.59,"['1.05', '5.18', '122.70', '-5.64']","['0.35', '5.65', '2.55', '7.92']","['1.05', '5.61', '9.05', '6.45']"
91,Shivam Auto,50,-7.45,1.59,"['0.57', '-0.02', '0.72', '0.83']","['-19.93', '-27.47', '-10.54', '-0.64']","['8.68', '-0.33', '9.30', '9.39']"
92,Motherson Sumi,"1,067",61.23,5.07,"['3.25', '3.64', '8.29', '9.05']","['8.27', '10.39', '14.71', '16.15']","['6.16', '8.32', '14.36', '16.77']"
93,HMT,-47,-9.94,-0.23,"['-0.29', '-0.01', '0.35', '-0.79']","['0.00', '-3.38', '-3.26', '0.00']","['0.51', '0.01', '-0.53', '1.19']"
94,Rasandik Engg,0,-9.50,0.56,"['0.24', '-0.68', '1.52', '1.09']","['-5.87', '-3.19', '2.70', '1.61']","['1.54', '-5.00', '10.45', '10.63']"
95,Spectra Ind,0,-0.03,-0.04,"['-0.17', '-0.12', '-29.40', '-3.18']","['0.00', '0.00', '0.00', '-3,400.87']","['2.94', '3.71', '112.61', '-217.60']"
96,Auto Stampings,0,-1.78,-0.60,"['-0.62', '-1.17', '0.23', '-3.06']","['0.00', '0.00', '0.00', '0.00']","['23.96', '75.37', '-38.29', '-262.31']"
97,Remsons Ind,-1,12.28,2.57,"['3.83', '5.21', '3.25', '2.79']","['21.20', '21.57', '15.83', '17.62']","['14.09', '29.35', '23.25', '25.15']"
