,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
78,Khoday India,0,-22.27,27.91,"['-0.74', '-0.15', '1.16', '-0.47']","['-125.31', '-104.84', '18.86', '-247.29']","['-4.59', '-3.74', '1.89', '-21.50']"
79,Dhampure Specia,0,11.41,0.77,"['176.43', '41.30', '16.20', '2.84']","['6.72', '-1.09', '2.27', '1.59']","['6.77', '2.35', '2.79', '3.09']"
80,Pioneer Distill,0,-1.66,-0.52,"['-1.69', '-1.65', '-2.31', '5.52']","['0.00', '0.00', '0.00', '273.70']","['174.93', '-116.97', '-36.03', '50.30']"
81,United Spirits,11,102.84,9.81,"['4.23', '6.17', '5.26', '4.53']","['9.31', '17.67', '22.65', '26.19']","['18.88', '33.93', '31.83', '37.78']"
82,Prataap Snacks,-14,97.58,2.18,"['2.77', '5.51', '65.89', '22.23']","['2.27', '7.71', '7.95', '8.50']","['2.31', '5.13', '8.06', '12.29']"
83,Neelamalai Agro,-2,4.22,0.52,"['34.30', '-83.39', '60.65', '15.96']","['12.37', '10.21', '8.90', '8.40']","['1.28', '-0.97', '1.49', '0.39']"
84,Bombay Burmah,432,20.97,1.42,"['16.90', '15.14', '28.74', '26.99']","['6.74', '11.74', '14.05', '6.99']","['29.71', '22.87', '24.38', '23.42']"
85,Andhra Sugar,-20,5.84,0.61,"['9.03', '11.13', '9.35', '5.69']","['10.40', '17.60', '16.84', '11.80']","['11.19', '16.54', '17.92', '13.19']"
86,Jayshree Tea,-11,7.88,0.64,"['1.72', '0.05', '0.92', '1.00']","['8.09', '-47.83', '-1.09', '10.28']","['14.71', '0.75', '8.97', '8.11']"
87,DCM Shriram Ind,-23,0.00,0.53,"['3.54', '3.18', '4.80', '3.47']","['10.49', '17.13', '15.02', '13.52']","['17.69', '17.92', '18.43', '11.49']"
88,Som Distillerie,-7,-5.54,0.38,"['-1.09', '2.36', '3.54', '6.40']","['-13.51', '4.69', '6.35', '15.66']","['-4.90', '7.61', '10.42', '22.85']"
89,Balrampur Chini,-1,9.54,1.72,"['16.00', '9.73', '15.54', '7.43']","['18.31', '21.49', '27.18', '14.32']","['21.37', '22.18', '25.26', '21.14']"
90,EID Parry,625,12.60,1.23,"['8.00', '3.95', '3.03', '3.85']","['9.76', '13.29', '4.90', '8.61']","['25.07', '26.40', '25.31', '26.84']"
91,KM Sugar Mills,1,4.09,0.50,"['5.47', '2.53', '5.20', '3.60']","['12.29', '9.51', '14.34', '22.35']","['16.75', '16.55', '18.33', '33.11']"
92,Bannariamman,-4,21.56,1.45,"['3.91', '3.84', '4.13', '4.32']","['6.79', '7.50', '6.34', '7.68']","['9.94', '11.04', '8.43', '9.83']"
93,Shree Renuka,-31,-16.05,-2.95,"['1.13', '-0.26', '0.51', '-2.54']","['0.00', '-237.83', '0.00', '0.00']","['21.91', '-12.61', '-8.07', '-1,891.21']"
94,India Sucrose,-4,0.00,0.32,"['2.69', '1.77', '1.38', '2.52']","['20.18', '13.78', '5.08', '9.23']","['25.28', '25.86', '21.43', '25.16']"
95,Kesar Ent,15,0.00,-0.39,"['4.34', '1.09', '0.10', '-0.08']","['-87.90', '-1.14', '0.00', '-45.15']","['66.82', '24.71', '6.69', '-2.98']"
96,Avadh Sugar,0,4.78,0.56,"['1.87', '1.91', '2.59', '2.00']","['11.65', '14.97', '23.57', '22.54']","['18.45', '18.59', '24.90', '28.87']"
97,Zydus Wellness,59,100.85,2.75,"['3.92', '2.18', '7.02', '89.08']","['2.59', '4.09', '4.99', '19.37']","['6.70', '6.13', '4.29', '21.41']"
98,B and A,19,6.81,0.75,"['4.11', '0.59', '1.42', '3.12']","['11.05', '-2.16', '3.19', '10.90']","['15.54', '3.92', '8.22', '16.63']"
99,Harrisons Malay,-1,6.35,2.23,"['3.97', '1.58', '-0.72', '1.35']","['35.15', '11.74', '-30.67', '4.28']","['25.48', '13.41', '-5.40', '8.94']"
100,Jhandewalas Foo,-1,0.00,-0.81,"['-6.86', '-1.10', '2.10', '1.82']","['0.00', '-95.16', '9.73', '16.89']","['992.15', '-24.03', '22.54', '42.94']"
