,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
56,Securekloud Tec,26,147.98,6.25,"['1.13', '-2.59', '9.30', '28.38']","['4.32', '-1,874.61', '11.60', '34.94']","['12.73', '-38.31', '13.05', '39.82']"
57,Redington,645,4.91,1.50,"['8.25', '4.18', '4.40', '4.75']","['15.33', '11.95', '13.00', '13.64']","['23.17', '18.37', '20.51', '20.08']"
58,Atishay,3,0.00,0.83,"['12.49', '7.93', '18.71', '10.80']","['6.74', '7.14', '12.87', '10.38']","['10.77', '8.25', '17.64', '14.03']"
59,Cyient,541,19.57,2.41,"['12.02', '10.69', '20.10', '28.53']","['12.30', '13.37', '18.66', '17.29']","['15.37', '16.93', '22.60', '22.64']"
60,Aurionpro Solut,2,-2.56,0.93,"['-3.33', '2.85', '7.31', '3.82']","['-36.24', '5.87', '11.44', '21.62']","['-12.91', '7.25', '14.49', '9.63']"
61,Cerebra Int,-20,518.50,2.13,"['1.88', '11.43', '12.61', '25.49']","['0.57', '3.88', '1.63', '12.62']","['2.78', '11.69', '17.21', '16.66']"
62,Avantel,0,10.00,2.32,"['13.22', '16.25', '22.28', '28.95']","['23.14', '20.81', '22.08', '46.82']","['28.55', '24.59', '29.00', '44.67']"
63,IZMO,19,2.50,0.29,"['31.77', '12.48', '6.36', '8.54']","['11.31', '5.33', '3.42', '3.19']","['11.11', '5.99', '4.21', '4.99']"
64,Birlasoft,16,21.95,3.22,"['35.87', '21.85', '26.06', '32.83']","['14.71', '11.85', '16.89', '13.91']","['19.82', '16.97', '15.84', '13.54']"
65,Xchanging Sol,65,11.48,1.30,"['268.96', '457.08', '5,681.00', '1,016.25']","['11.23', '11.02', '10.78', '8.24']","['12.45', '11.86', '13.02', '10.50']"
66,Aurum Proptech,-349,0.11,1.08,"['549.33', '51.66', '28.72', '3.20']","['1,022.00', '9.90', '7.98', '1.15']","['18.76', '11.57', '11.81', '2.21']"
67,TCS,"-1,788",36.65,13.60,"['71.61', '46.72', '210.91', '656.62']","['37.52', '38.44', '35.18', '30.33']","['47.21', '46.00', '44.97', '38.59']"
68,Wipro,"2,555",21.67,4.13,"['28.30', '17.72', '16.66', '18.57']","['19.66', '17.57', '15.95', '16.69']","['24.10', '21.76', '19.97', '19.91']"
69,Datamatics Glob,-95,8.53,0.95,"['47.16', '31.15', '24.86', '21.37']","['11.13', '9.29', '11.64', '11.72']","['15.06', '14.24', '16.87', '14.34']"
70,Bodhtree Cons,0,0.00,0.86,"['11.18', '3.51', '4.59', '4.16']","['19.33', '8.16', '16.16', '10.06']","['24.04', '15.44', '30.18', '18.11']"
71,HCL Tech,"2,761",23.93,4.46,"['32.02', '28.68', '73.54', '160.58']","['18.60', '21.56', '24.46', '23.96']","['23.78', '24.47', '27.65', '29.22']"
72,Cybertech,3,13.82,2.90,"['65.93', '35.94', '12.20', '3.11']","['20.98', '14.05', '12.30', '4.19']","['19.34', '18.20', '15.23', '7.36']"
73,Ramco System,3,29.10,2.49,"['13.23', '3.75', '11.07', '27.07']","['8.55', '1.67', '2.83', '2.03']","['15.53', '6.55', '7.79', '6.18']"
74,Vakrangee,-6,95.00,2.23,"['--', '--', '--', '100.35']","['2.35', '2.70', '0.96', '26.24']","['3.10', '3.27', '1.90', '39.77']"
75,B2B Software,-1,11.33,1.67,"['--', '--', '--', '--']","['14.74', '8.66', '2.15', '7.32']","['18.01', '9.86', '2.67', '11.59']"
76,MT Educare,-1,-1.53,0.32,"['-0.08', '0.68', '1.58', '-7.78']","['-21.14', '-26.57', '4.16', '-64.34']","['-0.60', '6.03', '9.44', '-51.97']"
77,Softsol India,14,9.58,0.87,"['48.60', '35.30', '33.12', '52.23']","['8.88', '4.75', '4.20', '4.55']","['10.28', '6.39', '5.78', '6.56']"
78,Digispice Tech,36,101.20,4.28,"['9.17', '-0.48', '6.04', '0.93']","['4.82', '-22.03', '2.12', '-12.91']","['5.85', '-0.83', '4.94', '0.61']"
79,Aptech,11,61.50,4.57,"['13.17', '40.08', '240.61', '349.03']","['7.38', '5.20', '6.53', '11.77']","['11.13', '12.41', '8.00', '7.48']"
80,Nucleus Softwar,-24,11.85,2.08,"['127.07', '105.27', '189.80', '157.59']","['17.55', '15.86', '14.65', '13.55']","['22.57', '20.53', '18.73', '13.29']"
81,Infosys,"6,065",29.99,7.61,"['137.55', '130.45', '--', '--']","['25.34', '25.35', '23.71', '24.68']","['31.73', '30.83', '31.83', '30.92']"
82,Tata Elxsi,-128,45.56,12.40,"['87.29', '64.36', '--', '--']","['27.22', '23.49', '30.75', '32.50']","['35.65', '30.55', '45.30', '31.70']"
83,EQUIPPP,0,0.00,-0.38,"['--', '-1.43', '-1.08', '0.10']","['-4,277.92', '0.00', '0.00', '0.00']","['-57.42', '1.11', '4.29', '-0.41']"
