,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
58,Anand Rathi Wealth Ltd,53.4,17.5,"['13', '30', '32']","['4.60', '7.25', '7.66']","['0', '-2', '11', '15', '12']","['248', '18', '12', '9', '14']"
59,Pilani Investment & Industries Corporation Ltd,11.5,1.29,"['71', '16', '55', '27', '38', '8', '31', '35']","['64.26', '14.66', '49.76', '24.43', '34.14', '7.43', '27.75', '31.83']","['0', '0', '0', '-0', '6']","['1', '2', '4', '1', '3']"
60,Sundaram Finance Holdings Ltd,14.5,3.65,"['43', '11', '21', '18', '28', '-10', '19', '28']","['1.92', '0.49', '0.96', '0.81', '1.25', '-0.45', '0.87', '1.25']","['1', '1', '5', '1']","['55', '38', '30', '33']"
61,Max Ventures and Industries Ltd,19.7,1.18,"['-4', '24', '8', '3', '2', '4', '-11', '2']","['-0.26', '1.65', '0.57', '0.20', '0.14', '0.29', '-0.78', '0.14']","['1', '-11', '4', '1', '5']","['79', '91', '422', '391', '41']"
62,Dolat Investments Ltd,7.97,50.3,"['15', '13', '21', '16', '22', '22', '24', '37']","['0.83', '0.74', '1.18', '0.88', '1.23', '1.22', '1.39', '2.12']","['19', '10', '-25', '-16', '7']","['15', '295', '111', '153', '46']"
63,Repco Home Finance Ltd,6.85,15.0,"['52', '62', '101', '70', '48', '64', '81', '80']","['8.24', '9.97', '16.08', '11.14', '7.62', '10.23', '12.92', '12.72']","['30', '-56', '9', '191', '-188']","['0', '0', '0', '0', '0']"
64,Kirloskar Industries Ltd,5.50,11.8,"['19', '12', '30', '15', '39', '-7', '43', '61']","['19.34', '12.68', '30.46', '15.62', '40.02', '-7.65', '44.43', '62.41']","['6', '-1', '-4', '9', '-11']","['65', '60', '58', '87', '84']"
65,Ugro Capital Ltd,143,3.07,"['-1.12', '-1.84', '-5.89', '6.89', '20.35', '3.73', '17.18', '6.27']","['-0.48', '-0.79', '-1.04', '0.98', '2.89', '0.53', '2.44', '0.89']","['-7', '-0', '0', '1', '-2']","['0', '0', '0', '0', '0']"
66,Ujjivan Financial Services Ltd,,-7.36,"['43', '83', '63', '72', '64', '65', '75', '-409']","['3.56', '6.84', '5.21', '5.92', '5.27', '5.35', '6.16', '-33.60']","['267', '-137', '503', '261', '594']","['1,122', '0', '0', '0', '0']"
67,Sastasundar Ventures Ltd,,-5.21,"['-14', '-8', '-12', '-9', '-10', '-0', '-2', '-2']","['-4.39', '-2.62', '-3.82', '-2.69', '-3.06', '-0.04', '-0.70', '-0.63']","['-2', '5', '-7', '11', '-10']","['56', '65', '75', '59', '169']"
68,Centrum Capital Ltd,,-7.80,"['-109', '-31', '13', '3', '29', '-12', '-7', '-16']","['-2.61', '-0.74', '0.32', '0.08', '0.69', '-0.29', '-0.17', '-0.39']","['-10', '21', '-5', '16', '15']","['16', '16', '12', '13', '16']"
69,BF Investment Ltd,3.69,10.7,"['14', '34', '39', '27', '45', '-4', '24', '39']","['3.73', '8.92', '10.22', '7.26', '11.91', '-0.94', '6.29', '10.31']","['15', '19', '3', '5', '8']","['26', '20', '-0', '-0', '-0']"
70,Vardhman Holdings Ltd,2.86,5.85,"['52', '35', '29', '60', '36', '-12', '23', '44']","['163.53', '108.85', '90.49', '187.97', '113.11', '-38.92', '71.82', '137.90']","['', '1', '0', '1', '2']","['0', '0', '0', '0', '0']"
71,Dhanvarsha Finvest Ltd,218,2.08,"['1.90', '1.06', '1.03', '1.65', '0.33', '0.36', '0.37', '-0.59']","['0.28', '0.16', '0.15', '0.24', '0.05', '0.05', '0.05', '-0.08']","['1.11', '-1.91', '30.52']","['0.19', '22.54', '73.59']"
72,PNB Gilts Ltd,13.4,39.0,"['-7.70', '45.16', '-1.92', '44.10', '99.01', '284.39', '16.80', '167.07']","['-0.43', '2.51', '-0.11', '2.45', '5.50', '15.80', '0.93', '9.28']","['-6', '-110', '-4', '194', '22']","['2', '3', '0', '0', '0']"
73,PTC India Financial Services Ltd,17.1,1.21,"['42', '37', '16', '44', '43', '7', '27', '32']","['0.65', '0.57', '0.24', '0.69', '0.67', '0.11', '0.41', '0.50']","['-174', '182', '-285', '-130', '-34']","['0', '2', '1', '0', '0']"
74,5Paisa Capital Ltd,70.0,9.98,"['-0.73', '-0.52', '-3.51', '-2.16', '-1.70', '2.81', '2.84', '3.19']","['-0.29', '-0.20', '-1.38', '-0.85', '-0.67', '1.10', '1.11', '1.25']","['68', '-56', '43', '-42', '-3']","['20', '10', '12', '0', '0']"
75,Magellanic Cloud Ltd,27.8,3.30,"['3.31', '1.89', '0.29', '1.06', '2.71', '2.11', '2.80', '-7.75']","['1.32', '0.75', '0.12', '0.42', '1.08', '0.84', '1.11', '-3.08']","['-0', '0', '0', '9', '-4']","['517', '78', '70', '91', '-93']"
76,Capital India Finance Ltd,,1.77,"['2.89', '8.47', '5.01', '4.15', '-0.40', '4.68', '7.44', '1.94']","['0.37', '1.09', '0.64', '0.53', '-0.05', '0.60', '0.96', '0.25']","['-32', '8', '38', '74']","['4', '0', '1', '3']"
77,SMC Global Securities Ltd,5.77,13.7,"['27', '9', '2', '7', '5', '24', '22', '21']","['2.36', '0.82', '0.20', '0.59', '0.48', '2.16', '1.95', '1.87']","['5', '38', '-29', '-8', '']","['241', '267', '196', '295', '235']"
78,Rane Holdings Ltd,,-8.74,"['26.20', '9.70', '-8.58', '-2.86', '-0.98', '-57.15', '4.17', '24.73']","['18.35', '6.79', '-6.01', '-2.00', '-0.69', '-40.03', '2.92', '17.32']","['6', '-3', '4', '3', '0']","['63', '43', '39', '41', '42']"
