,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
190,Sharp Investments Ltd,,-0.25,"['-0.02', '-0.05', '-0.05', '-0.02', '0.00', '-0.03', '-0.01', '-0.01']","['-0.00', '-0.00', '-0.00', '-0.00', '0.00', '-0.00', '-0.00', '-0.00']","['0.05', '-0.03', '', '0.03', '0.02']","['0.00', '0.00', '0.00', '0.00', '0.00']"
191,Lohia Securities Ltd,4.87,21.7,"['-0.35', '1.07', '0.69', '1.31', '1.41', '4.32', '3.02', '2.25']","['-0.70', '2.15', '1.38', '2.63', '2.83', '8.67', '6.06', '4.52']","['-2', '1', '-2', '-1', '1']","['11', '43', '45', '25', '55']"
192,Tamboli Capital Ltd,5.88,12.1,"['1.58', '0.75', '1.25', '2.45', '-0.40', '0.63', '1.33', '4.86']","['1.59', '0.76', '1.26', '2.47', '-0.40', '0.64', '1.34', '4.90']","['-1', '1', '0', '-0', '0']","['933', '456', '283', '436', '330']"
193,Aryaman Financial Services Ltd,18.3,2.35,"['-0.34', '0.46', '0.10', '0.04', '0.13', '0.03', '0.69', '1.01']","['-0.29', '0.39', '0.09', '0.03', '0.11', '0.03', '0.59', '0.86']","['0.22', '2.25', '-1.63', '1.35', '0.45']","['1,252.45', '430.65', '399.30', '110.96', '449.14']"
194,Emerald Leasing Finance And Investment Co Ltd,27.1,9.09,"['0.44', '0.46', '0.27', '0.43', '0.14', '0.15', '0.32', '0.43']","['0.15', '0.16', '0.09', '0.15', '0.05', '0.05', '0.11', '0.15']","['0.00', '0.00', '0.40', '1.35', '2.54']","['77.92', '151.69', '67.51', '103.33', '68.10']"
195,Assam Entrade Ltd,50.5,2.64,"['-0.23', '0.04', '0.23', '0.34', '0.91', '0.68', '0.36', '0.41']","['', '', '', '2.36', '6.32', '4.72', '2.50', '2.85']","['', '', '-5.80', '-0.01', '20.82']","['13.41', '5.59', '6.51', '490.05', '155.38']"
196,ICDS Ltd,,-24.3,"['0.80', '-0.41', '0.80', '-0.03', '-1.17', '0.39', '-6.14', '0.44']","['0.61', '-0.31', '0.61', '-0.02', '-0.90', '0.30', '-4.71', '0.34']","['-2.98', '0.15', '0.06', '0.14', '-0.24']","['0.91', '2.13', '7.64', '4,066.09', '2,280.47']"
197,Sulabh Engineers & Services Ltd,45.0,3.03,"['-0.05', '0.15', '0.30', '0.26', '1.40', '0.30', '0.12', '0.16']","['-0.00', '0.01', '0.03', '0.03', '0.14', '0.03', '0.01', '0.02']","['1.17', '-0.62', '0.19', '-0.80', '0.31']","['4.56', '0.00', '1.76', '5,283.31', '70.89']"
198,IM+ Capitals Ltd,51.6,2.75,"['0.51', '0.49', '0.72', '0.62', '-0.74', '0.80', '0.22', '0.84']","['1.46', '1.40', '2.06', '1.77', '-2.11', '2.28', '0.63', '2.40']","['-0.93', '-0.94', '1.39', '-1.73', '0.13']","['114.43', '176.01', '109.73', '0.00', '33.09']"
199,Suchitra Finance & Trading Company Ltd,16.1,5.81,"['15.70', '2.05', '2.11', '2.55', '2.35', '2.91', '2.91', '2.48']","['16.84', '2.20', '2.26', '2.74', '2.52', '3.12', '3.12', '2.66']","['0.00', '0.10', '0.93', '-0.90', '0.07']","['0.00', '0.00', '1,955.36', '6,286.11', '6,083.33']"
200,Gogia Capital Services Ltd,16.9,5.82,"['0.25', '0.78', '0.79', '1.12', '1.08', '0.55', '0.56', '0.53']","['0.40', '1.23', '1.25', '1.77', '1.71', '0.87', '0.89', '0.84']","['1.95', '0.87', '4.22', '2.79', '4.21']","['299.93', '404.28', '162.22', '145.82', '56.41']"
201,Munoth Capital Markets Ltd,732,-0.21,"['-0.13', '0.01', '-0.02', '0.05', '0.01', '0.02', '-0.02', '-0.01']","['-0.14', '0.01', '-0.02', '0.06', '0.01', '0.02', '-0.02', '-0.01']","['0.47', '2.38', '-1.14', '-4.27', '0.03']","['0.00', '0.88', '22.58', '11.06', '8.49']"
202,Galactico Corporate Services Ltd,26.5,13.0,"['0.76', '0.53', '0.23', '2.17', '2.49']","['0.70', '0.46', '0.20', '1.89', '2.17']","['1.49', '0.63', '-0.79', '-0.13']","['8.92', '-20.90', '-61.38', '-55.04']"
203,Stampede Capital Ltd-DVR,,-44.9,[],[],"['20', '74']","['132', '69']"
204,Sonal Mercantile Ltd,3.51,7.05,"['1.76', '2.52', '0.53', '3.10', '5.89', '3.47', '3.12', '3.32']","['1.19', '1.71', '0.36', '2.10', '4.00', '2.35', '2.12', '2.25']","['6', '-6', '-0']","['0', '0', '0']"
205,Intec Capital Ltd,2.00,20.5,"['2.95', '-5.76', '-16.82', '-7.19', '-7.62', '-0.32', '-2.34', '-8.78']","['1.61', '-3.14', '-9.16', '-3.91', '-4.15', '-0.17', '-1.27', '-4.78']","['4', '3', '-3', '11', '17']","['19', '29', '0', '0', '0']"
206,Alfred Herbert (India) Ltd,41.6,-0.25,"['1.16', '-1.70', '1.67', '0.89', '0.06', '0.20', '-0.08', '0.06']","['15.04', '-22.04', '21.65', '11.54', '0.78', '2.59', '-1.04', '0.78']","['-7.30', '-5.10', '1.03', '-1.24', '0.36']","['97.40', '73.74', '127.58', '202.76', '142.14']"
207,Kreon Finnancial Services Ltd,24.8,-25.3,"['0.10', '-0.65', '-0.66', '-2.15', '-0.84', '-0.44', '-0.40', '-0.51']","['0.10', '-0.65', '-0.66', '-2.14', '-0.83', '-0.44', '-0.40', '-0.51']","['0.01', '0.07', '-0.10', '0.02', '0.14']","['95.86', '1,533.00', '2,460.60', '73.28', '184.81']"
208,India Home Loans Ltd,25.4,3.02,"['-0.06', '0.23', '0.47', '0.47', '1.64', '0.06', '0.15', '0.19']","['-0.04', '0.16', '0.33', '0.33', '1.15', '0.04', '0.11', '0.13']","['0.86', '-0.91', '-0.16', '-0.02', '0.19']",[]
209,Wallfort Financial Services Ltd,2.79,14.9,"['1.00', '-7.29', '-8.93', '-0.84', '-5.92', '5.19', '3.45', '3.72']","['1.03', '-7.53', '-9.22', '-0.87', '-6.11', '5.36', '3.56', '3.84']","['2', '-3', '0', '1', '-4']","['7', '6', '28', '47', '4']"
210,Salem Erode Investments Ltd,45.2,5.57,"['-0.18', '0.08', '0.22', '-0.42', '0.00', '0.26', '0.39', '0.39']","['-0.16', '0.07', '0.19', '-0.37', '0.00', '0.23', '0.34', '0.34']","['-2.73', '0.20', '0.27', '0.30', '0.15']","['0.00', '93.37', '0.00', '0.00', '0.00']"
211,Sumedha Fiscal Services Ltd,14.6,20.3,"['2.11', '0.22', '0.82', '1.62', '-5.92', '2.84', '2.80', '2.36']","['2.64', '0.28', '1.03', '2.03', '-7.41', '3.56', '3.51', '2.96']","['0.74', '1.09', '-0.37', '-0.22', '-0.29']","['44.16', '70.81', '553.88', '298.48', '141.38']"
212,TTI Enterprise Ltd,210,0.60,"['-0.09', '-0.16', '0.03', '0.23', '-0.35', '-0.23', '0.31', '0.37']","['-0.04', '-0.06', '0.01', '0.09', '-0.14', '-0.09', '0.12', '0.15']","['-0.16', '0.43', '1.29', '-1.24', '-0.17']","['58.66', '232.75', '66.18', '42.76', '184.36']"
213,Ashika Credit Capital Ltd,14.3,3.46,"['4.47', '0.82', '-1.04', '0.86', '-3.19', '1.38', '1.04', '0.39']","['3.94', '0.72', '-0.88', '0.72', '-2.69', '1.16', '0.88', '0.33']","['0.09', '3.80', '-3.50', '-0.30', '-0.15']","['3,384.14', '562.35', '23.63', '0.00', '0.00']"
214,Pioneer Investcorp Ltd,35.6,0.67,"['1.72', '0.42', '0.72', '0.40', '1.96', '-0.17', '0.61', '0.17']","['1.40', '0.34', '0.59', '0.33', '1.59', '-0.14', '0.50', '0.14']","['-13.92', '2.21', '-5.98', '-4.33', '-1.11']","['416.29', '481.50', '726.88', '771.32', '1,315.38']"
215,ISL Consulting Ltd,62.4,1.36,"['4.46', '-7.37', '3.50', '2.53', '0.94', '2.25', '-0.22', '0.36']","['1.86', '-3.07', '1.46', '1.05', '0.39', '0.94', '-0.09', '0.15']","['-0.23', '0.44', '-0.46', '1.94', '-1.25']","['163.27', '82.73', '43.63', '140.11', '13.68']"
216,Asit C Mehta Financial Services ltd,19.4,-0.16,"['-0.05', '-1.65', '-1.27', '-2.57', '-0.33', '-1.49', '-1.24', '-1.06']","['-0.10', '-3.33', '-2.56', '-5.19', '-0.67', '-3.01', '-2.50', '-2.14']","['-0.72', '0.29', '-0.10', '0.08', '0.09']","['173.72', '51.49', '39.92', '35.12', '79.31']"
217,Acme Resources Ltd,,-12.0,"['-9.03', '0.01', '-1.78', '5.06', '4.95', '0.11', '1.06', '1.64']","['-3.51', '0.00', '-0.69', '1.97', '1.92', '0.04', '0.41', '0.64']","['2', '-2', '2', '-2', '-0']","['2', '229', '327', '459', '454']"
218,Anupam Finserv Ltd,31.6,10.7,"['0.07', '0.20', '0.21', '0.28', '-0.06', '0.18', '0.15', '0.60']","['0.01', '0.02', '0.02', '0.02', '-0.01', '0.02', '0.01', '0.05']","['-0.13', '0.09', '-0.05', '-0.04', '0.02']","['30.69', '675.03', '1,028.15', '1,600.50', '-100.46']"
219,Pro Fin Capital Services Ltd,,-25.9,"['0.34', '0.75', '0.72', '0.82', '1.02', '0.38', '0.41', '0.25']","['0.48', '1.06', '1.02', '1.16', '1.44', '0.54', '0.58', '0.35']","['-0.22', '-0.04', '-0.12', '-0.03', '0.05']","['286.79', '501.88', '', '', '95.60']"
220,Leading Leasing Finance & Investment Company Ltd,43.8,9.15,"['0.33', '0.37', '0.45', '0.51', '0.03', '0.26', '0.17', '0.28']","['0.62', '0.69', '0.84', '0.96', '0.06', '0.49', '0.32', '0.52']","['0.00', '0.00', '0.00', '0.00', '0.00']","['0.00', '0.00', '0.00', '0.00', '0.00']"
221,Sainik Finance & Industries Ltd,,-8.95,"['1.01', '1.50', '0.84', '2.19', '-0.46', '1.31', '4.52', '0.92']","['0.93', '1.38', '0.77', '2.01', '-0.42', '1.20', '4.15', '0.85']","['5.49', '-3.40', '-2.35', '-0.25', '-0.27']","['145.54', '136.99', '58.73', '149.88', '10.93']"
222,Innovassynth Investments Ltd,,-2.61,"['-0.12', '-0.12', '-0.20', '-0.11', '-0.11', '-0.12', '-0.14', '-0.13']","['-0.05', '-0.05', '-0.08', '-0.05', '-0.05', '-0.05', '-0.06', '-0.05']","['0.02', '-0.01', '0.01', '-0.03', '0.05']","['', '', '', '', '']"
223,West Leisure Resorts Ltd,,0.51,"['0.08', '0.03', '-0.31', '0.06', '-0.02', '0.03', '0.02', '0.02']","['0.26', '0.10', '-1.02', '0.20', '-0.07', '0.10', '0.07', '0.07']","['0.00', '-2.46', '-0.02', '1.28', '-0.22']","['', '17.38', '82.01', '33.02', '0.00']"
224,Joindre Capital Services Ltd,6.24,5.21,"['0.44', '0.13', '0.31', '0.20', '0.54', '0.48', '0.86', '0.67']","['0.32', '0.09', '0.22', '0.14', '0.39', '0.35', '0.62', '0.48']","['4.11', '-8.70', '-0.68', '-2.61', '2.61']","['252.40', '145.11', '160.95', '146.16', '82.67']"
225,Arnold Holdings Ltd,66.8,1.10,"['0.82', '0.48', '0.55', '-0.85', '1.54', '0.09', '0.80', '0.19']","['0.27', '0.16', '0.18', '-0.28', '0.51', '0.03', '0.27', '0.06']","['0.12', '', '-0.80', '', '-2.62']","['3,285.00', '847.21', '733.58', '65.08', '674.69']"
226,Morarka Finance Ltd,10.4,1.54,"['0.05', '0.02', '2.53', '0.06', '2.30', '0.13', '0.29', '0.12']","['0.11', '0.04', '5.62', '0.13', '5.11', '0.29', '0.64', '0.27']","['-0.04', '-0.01', '0.00', '0.00', '0.01']","['0.00', '6,570.00', '2,920.00', '', '']"
227,TCFC Finance Ltd,5.59,10.8,"['-1.58', '0.80', '0.53', '1.72', '-2.96', '2.70', '1.54', '3.15']","['-1.51', '0.76', '0.51', '1.64', '-2.82', '2.58', '1.47', '3.01']","['0.53', '-0.18', '-0.25', '10.29', '-10.53']","['102.01', '118.35', '68.66', '96.62', '114.63']"
228,Abhinav Capital Services Ltd,12.0,2.63,"['-0.04', '0.57', '-0.05', '-0.09', '0.03', '0.50', '0.81', '0.29']","['-0.06', '0.82', '-0.07', '-0.13', '0.04', '0.72', '1.17', '0.42']","['-1.18', '0.11', '-0.12', '0.85', '-0.84']","['-4,562.50', '26.23', '1,516.49', '6,258.23', '12,880.97']"
229,Luharuka Media & Infra Ltd,83.0,1.04,"['0.00', '0.10', '-0.22', '0.05', '0.02', '0.07', '0.00', '0.08']","['0.00', '0.01', '-0.02', '0.01', '0.00', '0.01', '0.00', '0.01']","['3.35', '1.57', '-4.46', '0.06', '0.06']","['0.00', '4.78', '0.00', '0.00', '0.00']"
230,HB Portfolio Ltd,7.99,2.53,"['-3.61', '1.16', '1.03', '-0.53', '-6.85', '-0.12', '0.55', '2.00']","['-3.35', '1.08', '0.96', '-0.49', '-6.36', '-0.11', '0.51', '1.86']","['5.56', '-5.93', '-6.54', '12.52', '-12.13']","['0.00', '0.00', '0.00', '155.20', '43.12']"
231,HB Stockholdings Ltd,2.50,28.2,"['0.18', '-0.78', '-2.13', '0.43', '-4.87', '3.78', '0.61', '7.27']","['0.25', '-1.09', '-2.98', '0.60', '-6.82', '5.30', '0.85', '10.19']","['-1', '-0', '-0', '2', '5']","['0', '0', '0', '8', '72']"
232,Akashdeep Metal Industries Ltd,39.1,2.80,"['-0.40', '0.78', '0.15', '1.03', '0.36', '0.72', '0.17', '1.03']","['-0.47', '0.92', '0.18', '1.21', '0.42', '0.85', '0.20', '1.21']","['0.29', '-0.07', '-0.21', '0.16']","['-0.00', '-0.00', '-0.00', '-0.00']"
233,Futuristic Solutions Ltd,,-0.15,"['1.01', '-0.07', '-0.10', '-0.19', '-0.20', '-0.35', '0.00', '-0.02']","['0.96', '-0.07', '-0.10', '-0.18', '-0.19', '-0.33', '0.00', '-0.02']","['0.05', '-0.09', '0.04', '-0.28', '-0.01']","['284.73', '799.64', '690.47', '623.77', '0.00']"
234,Dhanlaxmi Cotex Ltd,9.28,1.48,"['0.14', '-1.20', '4.52', '0.61', '-0.64', '0.35', '-0.60', '0.05']","['0.29', '-2.46', '9.28', '1.25', '-1.31', '0.72', '-1.23', '0.10']","['0.39', '-0.33', '0.76', '-0.62', '0.60']","['104.40', '171.38', '134.44', '102.93', '117.21']"
235,Ascom Leasing & Investments Ltd,7.66,17.4,"['1.97', '0.79']","['3.46', '1.39']","['0.00', '0.00', '0.00', '', '0.00']","['0.00', '730.00', '0.00', '0.00', '0.00']"
236,Utique Enterprises Ltd,11.1,11.4,"['-0.03', '1.04', '0.10', '1.91', '-0.09', '0.25', '-0.04', '2.46']","['-0.01', '0.19', '0.02', '0.34', '-0.02', '0.04', '-0.01', '0.44']","['0.08', '4.96', '3.17', '0.24', '0.51']","['0.00', '0.00', '0.00', '0.00', '0.00']"
237,Ceejay Finance Ltd,7.98,8.95,"['0.95', '1.43', '1.51', '1.47', '0.43', '1.23', '1.17', '1.34']","['2.75', '4.14', '4.38', '4.26', '1.25', '3.57', '3.39', '3.88']","['0.63', '1.57', '-1.72', '0.82', '-0.91']","['230.35', '227.36', '127.84', '138.73', '131.62']"
238,Twenty First Century Management Services Ltd,1.46,23.9,"['8', '-6', '1', '-2', '-25', '-0', '-1', '6']","['7.50', '-5.33', '0.71', '-2.11', '-23.83', '-0.07', '-0.74', '5.67']","['2', '6', '-6', '-1', '3']","['1,670', '392', '18,500', '12,169', '7,339']"
239,Stanrose Mafatlal Investment & Finance Ltd,,-7.09,"['-0.89', '-1.61', '-1.53', '-0.47', '-4.53', '-0.66', '-0.87', '-0.90']","['-2.24', '-4.06', '-3.86', '-1.18', '-11.42', '-1.66', '-2.19', '-2.27']","['10.40', '-10.31', '-1.66', '0.26', '0.16']","['3.48', '9.95', '6.79', '3.96', '7.00']"
240,P. H. Capital Ltd,1.89,76.6,"['0.31', '1.31', '-0.43', '1.20', '-4.75', '2.07', '3.32', '1.60']","['1.03', '4.37', '-1.43', '4.00', '-15.83', '6.90', '11.07', '5.33']","['-0', '0', '-0', '0', '-0']","['86', '23', '379', '91', '113']"
241,Real Touch Finance Ltd.,20.2,4.21,"['0.41', '0.36', '0.40', '0.41', '-0.04', '0.35', '0.39', '0.42']","['0.32', '0.28', '0.32', '0.32', '-0.03', '0.28', '0.31', '0.33']","['-0.06', '0.38', '-0.40', '0.03', '0.04']","['0.00', '0.00', '0.00', '0.00', '0.00']"
242,Sahara Housing Fina Corporation Ltd,17.4,4.55,"['0.60', '0.54', '0.34', '0.56', '0.64', '0.48', '0.52', '0.51']","['0.86', '0.77', '0.49', '0.80', '0.91', '0.69', '0.74', '0.73']","['2.18', '-0.29', '5.44', '11.10', '-10.47']","['1.66', '0.72', '0.90', '2.88', '5.01']"
243,B N Rathi Securities Ltd,7.46,15.8,"['-0.05', '0.50', '0.37', '0.29', '0.55', '0.81', '1.57', '0.77']","['-0.06', '0.60', '0.44', '0.35', '0.65', '0.96', '1.87', '0.92']","['2.05', '7.71', '-17.19', '0.58', '-0.45']","['247.62', '263.28', '120.68', '100.24', '200.15']"
244,Morgan Ventures Ltd,4.81,3.83,"['-3.07', '-0.82', '-0.17', '-0.55', '-0.07', '0.92', '0.71', '0.76']","['-3.10', '-0.83', '-0.17', '-0.56', '-0.07', '0.93', '0.72', '0.77']","['0.19', '-0.81', '-4.92', '0.15', '-0.33']","['836.61', '173.14', '233.86', '81.21', '72.47']"
245,Chartered Capital & Investment Ltd,813,1.06,"['0.15', '0.10', '0.23', '0.10', '-0.90', '0.13', '0.12', '0.45']","['0.50', '0.33', '0.76', '0.33', '-2.99', '0.43', '0.40', '1.49']","['-0.25', '-4.23', '0.86', '-0.91', '0.13']","['7.79', '5.79', '0.00', '12.33', '1.62']"
246,My Money Securities Ltd,37.0,0.61,"['0.15', '-0.37', '-0.12', '-0.13', '-0.85', '0.00', '-0.05', '0.11']","['0.15', '-0.37', '-0.12', '-0.13', '-0.85', '0.00', '-0.05', '0.11']","['-0.19', '-1.53', '0.00', '0.02', '0.37']","['215.68', '2,501.15', '3,157.25', '2,845.86', '2,977.94']"
247,Premier Capital Services Ltd,,-2.16,"['0.01', '-0.01', '-0.02', '-0.02', '-0.08', '-0.01', '-0.02', '-0.13']","['0.00', '-0.00', '-0.01', '-0.01', '-0.02', '-0.00', '-0.01', '-0.04']","['0.00', '0.00', '-1.06', '2.28', '-1.83']","['0.00', '0.00', '165.91', '0.00', '79.35']"
248,Odyssey Corporation Ltd,7.60,10.6,"['0.57', '0.38', '0.11', '0.19', '-0.43', '0.31', '0.18', '0.21']","['0.14', '0.10', '0.03', '0.05', '-0.11', '0.08', '0.05', '0.05']","['-28.22', '-8.86', '-0.23', '-0.23', '0.07']","['54.38', '68.49', '590.89', '-3,752.04', '-86.08']"
249,Lakshmi Finance & Industrial Corporation Ltd,5.20,24.1,"['1.03', '-0.52', '-1.21', '0.95', '-5.80', '3.15', '1.32', '5.00']","['3.43', '-1.73', '-4.03', '3.17', '-19.33', '10.50', '4.40', '16.67']","['1.46', '-0.32', '-0.52', '0.66', '2.61']","['-0.00', '-0.00', '-0.00', '145.19', '-0.00']"
250,Som Datt Finance Corporation Ltd,4.45,26.8,"['0.09', '0.02', '0.00', '-0.06', '0.10', '0.12', '0.21', '1.73']","['0.09', '0.02', '0.00', '-0.06', '0.10', '0.12', '0.21', '1.73']","['-0.03', '-0.25', '0.56', '-0.26', '0.81']","['2.25', '155.08', '81.11', '78.49', '318.85']"
251,Comfort Fincap Ltd,8.62,10.8,"['0.78', '0.32', '0.71', '1.04', '-0.83', '1.33', '1.29', '1.90']","['0.72', '0.29', '0.65', '0.96', '-0.76', '1.23', '1.19', '1.75']","['12.25', '-9.05', '0.93', '-0.18', '-1.90']","['290.24', '40.72', '154.06', '967.08', '0.92']"
252,Key Corp Ltd,3.26,37.4,"['0.75', '0.03', '0.25', '0.10', '-0.19', '0.03', '5.12', '-0.11']","['1.25', '0.05', '0.42', '0.17', '-0.32', '0.05', '8.53', '-0.18']","['0.24', '-0.02', '-0.34', '0.48', '0.06']","['0.00', '2.10', '6.37', '14.17', '9.55']"
253,Viji Finance Ltd,78.4,4.00,"['-0.14', '0.21', '0.13', '-0.02', '-0.18', '0.16', '0.11', '0.04']","['-0.02', '0.03', '0.02', '-0.00', '-0.02', '0.02', '0.01', '0.00']","['0.01', '0.33', '-0.27', '0.17', '-0.19']","['', '0.00', '0.00', '59.19', '0.00']"
254,Ashirwad Capital Ltd,29.3,7.31,"['0.22', '0.12', '0.09', '0.06', '0.02', '0.27', '0.11', '0.06']","['0.06', '0.03', '0.02', '0.02', '0.00', '0.07', '0.03', '0.02']","['0.07', '-0.01', '-0.01', '0.01', '-0.08']","['0.00', '0.00', '0.00', '0.00', '0.00']"
255,Kiduja India Ltd,2.21,,"['23.95', '-0.70', '-0.71', '5.57', '0.16', '-0.11', '-0.08', '-0.09']","['139.65', '-4.08', '-4.14', '32.48', '0.93', '-0.64', '-0.47', '-0.52']","['0', '-0', '0', '0', '0']","['0', '0', '122', '', '0']"
256,BCL Enterprises Ltd,4.59,33.0,"['-0.13', '0.01', '-0.09', '0.01', '-0.70', '0.11', '0.20', '2.87']","['-0.22', '0.02', '-0.15', '0.02', '-1.20', '0.19', '0.34', '4.92']","['0.18', '-0.16', '0.27', '0.60', '-0.24']","['0.00', '0.00', '215.48', '411.62', '59.86']"
257,Bhartia Bachat Ltd,,-0.68,"['-0.07', '0.03', '0.02', '0.03', '-0.25', '-0.05', '-0.01', '-0.03']","['-0.04', '0.02', '0.01', '0.02', '-0.15', '-0.03', '-0.01', '-0.02']","['-0.43', '-0.07', '-0.02']","['4,064.86', '3,370.88', '18,261.77']"
258,Haryana Capfin Ltd,27.6,1.06,"['0.07', '0.09', '1.82', '0.11', '-0.09', '0.11', '0.63', '0.10']","['0.13', '0.17', '3.49', '0.21', '-0.17', '0.21', '1.21', '0.19']","['0.00', '-0.01', '0.00', '0.20', '-0.13']","['0.00', '0.00', '0.00', '0.00', '0.00']"
259,Ind Bank Housing Ltd,,,"['0.25', '-0.04', '0.00', '-0.02', '2.80', '-0.04', '-0.01', '-0.02']","['0.25', '-0.04', '0.00', '-0.02', '2.80', '-0.04', '-0.01', '-0.02']","['1.16', '2.34', '2.56', '1.34', '1.34']","['0.00', '0.00', '0.00', '0.00', '0.00']"
260,3P Land Holdings Ltd,32.7,-0.37,"['-0.11', '-0.28', '0.22', '2.76', '1.00', '0.03', '-0.07', '-0.04']","['-0.06', '-0.16', '0.12', '1.53', '0.56', '0.02', '-0.04', '-0.02']","['-0.48', '-1.03', '0.45', '0.13', '-0.10']","['140.88', '62.77', '127.42', '117.11', '102.68']"
261,Mega Corporation Ltd,,-1.21,"['0.04', '0.14', '0.11', '0.05', '-0.21', '0.18', '0.23', '-0.02']","['0.00', '0.01', '0.01', '0.00', '-0.02', '0.02', '0.02', '-0.00']","['-0.49', '-0.06', '-0.39', '-0.35', '0.00']","['14.89', '10.20', '0.00', '95.30', '0.00']"
262,Pyxis Finvest Ltd,,-62.8,"['0.79', '0.75', '-0.81', '-7.27', '-6.54', '0.71']","['0.69', '0.65', '-0.70', '-6.32', '-5.69', '0.62']","['-1.13', '0.50', '-0.49', '5.50', '-0.01']","['0.00', '0.00', '0.00', '0.00', '0.00']"
263,AD Manum Finance Ltd,12.9,5.88,"['5.99', '0.28', '1.18', '0.62', '-0.25', '0.46', '0.68', '0.98']","['7.99', '0.37', '1.57', '0.83', '-0.33', '0.61', '0.91', '1.31']","['-0.22', '-0.63', '0.34', '8.51', '-8.83']","['1,693.99', '1,711.09', '1,565.80', '1,184.01', '1,479.54']"
264,CNI Research Ltd,21.6,-54.0,"['-0.03', '-0.12', '0.02', '0.07', '-0.22', '-0.02', '-3.07', '-0.47']","['-0.00', '-0.01', '0.00', '0.01', '-0.02', '-0.00', '-0.27', '-0.04']","['1.24', '-1.00', '-0.15', '0.03', '-0.19']","['-0.00', '4.03', '56.60', '-0.00', '1.26']"
265,Elixir Capital Ltd,4.17,37.2,"['0.65', '-0.34', '-0.94', '0.97', '-3.52', '2.17', '0.93', '3.26']","['1.12', '-0.59', '-1.62', '1.67', '-6.07', '3.74', '1.60', '5.62']","['', '0.34', '-0.37', '0.37', '0.55']","['15.53', '45.09', '8.51', '0.00', '0.82']"
266,Wall Street Finance Ltd,,-12.0,"['0.41', '0.22', '0.42', '0.01', '-1.18', '-1.30', '-0.56', '-1.42']","['0.35', '0.19', '0.36', '0.01', '-1.02', '-1.12', '-0.48', '-1.23']","['-0.88', '1.28', '-13.87', '-0.33', '5.78']","['119.21', '90.25', '184.95', '325.63', '350.42']"
267,Goldline International Finvest Ltd,531,0.09,"['0.00', '0.07', '0.02', '0.01', '0.01', '0.00', '0.00', '0.01']","['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['0.05', '-0.04', '8.46', '-7.68', '-0.43']","['', '1,095.00', '1,859.76', '235.48', '71.14']"
268,Onesource Ideas Venture Ltd,661,4.90,"['-0.03', '-0.02', '-0.03', '-1.66', '-0.25', '0.05', '0.02', '0.06']","['-0.10', '-0.07', '-0.10', '-5.40', '-0.81', '0.16', '0.07', '0.20']","['0.00', '-0.01', '0.03', '0.15', '-0.17']","['3,193.75', '12,775.00', '2,336.00', '-189.80', '0.00']"
269,Supra Pacific Management Consultancy Ltd,38.7,3.70,"['0.18', '-0.02', '-0.06', '-0.03', '0.02', '0.04', '-0.19', '-0.07']","['0.33', '-0.04', '-0.11', '-0.05', '0.04', '0.07', '-0.35', '-0.13']","['0.00', '0.00', '-0.01', '0.00', '']","['', '', '', '', '']"
270,SKP Securities Ltd,4.89,15.2,"['0.17', '0.14', '0.16', '0.10', '-0.69', '0.65', '0.60', '1.21']","['0.39', '0.32', '0.36', '0.29', '-2.03', '1.91', '1.76', '3.55']","['3.76', '3.00', '-3.16', '11.28', '-0.79']","['14.81', '21.21', '25.97', '34.87', '100.50']"
271,Garbi Finvest Ltd,1.40,2.02,"['-0.47', '0.31', '0.05', '0.82', '-0.01', '-0.16', '0.27', '0.10']","['-0.40', '0.26', '0.04', '0.70', '-0.01', '-0.14', '0.23', '0.09']","['-0', '-0', '0', '-0', '-0']","['548', '0', '4,745', '0', '0']"
272,Smart Finsec Ltd,6.86,6.38,"['0.44', '0.75', '0.01', '-0.17', '-0.25', '-0.26', '0.66', '-0.32']","['0.15', '0.25', '0.00', '-0.06', '-0.08', '-0.09', '0.22', '-0.11']","['-0.35', '0.14', '-0.12', '1.01', '-0.93']","['0.00', '0.00', '0.00', '-9,733.33', '0.00']"
273,Khandwala Securities Ltd,,-7.44,"['-0.15', '-0.41', '-0.60', '-0.21', '-2.37', '0.02', '0.27', '-0.83']","['-0.13', '-0.34', '-0.50', '-0.18', '-1.99', '0.02', '0.23', '-0.70']","['-2.56', '-2.24', '-0.18', '-3.09', '2.27']","['1,326.34', '1,309.45', '1,106.32', '1,313.21', '1,246.72']"
274,Williamson Magor & Company Ltd,,,"['-14.77', '-14.77', '30.90', '-11.34', '-32.48', '-5.22', '112.73', '-1.25']","['-13.48', '-13.48', '28.20', '-10.35', '-29.64', '-4.76', '102.89', '-1.14']","['19', '-9', '-0', '12', '6']","['51', '104', '49', '26', '26']"
275,Monotype India Ltd,,,"['-10.27', '-10.12', '-2.11', '17.38', '-80.59', '-6.78', '-4.30', '-6.50']","['-0.15', '-0.14', '-0.03', '0.25', '-1.15', '-0.10', '-0.06', '-0.09']","['1', '-1', '-0', '0', '0']","['0', '0', '0', '0', '']"
