,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
118,Virtual Global Education Ltd,241,0.48,"['0.16', '0.11', '0.09', '0.09', '0.08', '0.08', '0.12', '0.03']","['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['', '0.04', '-0.05', '0.14', '0.11']","['402.72', '0.00', '0.00', '0.00', '190.50']"
119,Excel Realty N Infra Ltd,,0.48,"['0.59', '0.03', '0.09', '0.04', '-2.88', '-0.25', '0.91', '-0.07']","['0.06', '0.00', '0.01', '0.00', '-0.31', '-0.03', '0.10', '-0.01']","['1.96', '-1.52', '0.11', '-0.10', '-0.49']","['11.26', '127.71', '14.61', '24.38', '112.57']"
120,Danlaw Technologies India Ltd,191,1.40,"['0.77', '0.23', '-1.27', '-2.15', '-1.35', '-1.26', '0.30', '1.59']","['2.08', '0.62', '-3.43', '-5.80', '-3.64', '-3.40', '0.81', '4.29']","['', '', '2', '2', '2']","['489', '286', '142', '178', '179']"
121,Globalspace Technologies Ltd,,16.9,"['0.77', '1.17', '0.44', '-3.17', '4.77', '2.06', '2.23', '2.09']","['0.67', '1.02', '0.38', '-2.77', '4.16', '1.80', '1.95', '1.82']","['0.00', '-0.39', '0.00', '0.08', '-0.07']","['', '4,259.82', '444.65', '487.90', '168.76']"
122,California Software Company Ltd,10.9,-3.38,"['-0.23', '0.27', '0.12', '0.10', '-0.57', '0.18', '0.18', '0.14']","['-0.19', '0.22', '0.10', '0.08', '-0.46', '0.15', '0.12', '0.09']","['-17.41', '-2.04', '-0.78', '-9.18', '-9.40']","['91.95', '73.37', '105.00', '560.21', '29.11']"
123,Tera Software Ltd,291,0.77,"['2.40', '1.61', '1.39', '1.35', '2.17', '-1.24', '0.12', '0.24']","['1.92', '1.29', '1.11', '1.08', '1.73', '-0.99', '0.10', '0.19']","['10', '-11', '7', '-5', '-1']","['83', '54', '-168', '-96', '-52']"
124,Bodhtree Consulting Ltd,9.49,9.28,"['3.59', '0.46', '1.53', '1.89', '0.25', '1.12', '1.26', '1.89']","['1.80', '0.23', '0.77', '0.95', '0.13', '0.56', '0.63', '0.95']","['1', '9', '-9', '0', '0']","['112', '119', '109', '193', '177']"
125,Orchasp Ltd,49.6,0.21,"['1.71', '1.65', '0.85', '0.41', '-2.03', '-0.47', '-0.34', '-0.35']","['0.17', '0.17', '0.09', '0.04', '-0.21', '-0.05', '-0.03', '-0.04']","['0.12', '-0.11', '0.04', '0.21', '-0.25']","['194.58', '207.13', '3,031.90', '797.11', '16,260.68']"
126,HOV Services Ltd,18.6,3.96,"['0.07', '0.34', '0.19', '-0.19', '0.33', '0.25', '0.11', '0.26']","['0.06', '0.27', '0.15', '-0.15', '0.26', '0.20', '0.09', '0.21']","['-2.40', '-5.08', '15.47', '-9.45', '-6.04']","['59.88', '68.90', '62.33', '108.04', '60.66']"
127,Starcom Information Technology Ltd,,-622,"['0.04', '0.01', '0.02', '0.01', '-1.08', '-0.28', '-0.45', '-0.05']","['0.08', '0.02', '0.04', '0.02', '-2.16', '-0.56', '-0.90', '-0.10']","['-1.75', '5.12', '-5.07', '0.01', '0.18']","['0.00', '', '', '105.44', '10.25']"
128,AAA Technologies Ltd,53.2,7.00,"['0.18', '0.32', '0.51']","['', '', '0.60']","['0.00', '0.00', '0.00', '0.00', '0.00']","['12.66', '25.85', '48.09', '66.70', '64.56']"
129,We Win Ltd,45.0,6.94,"['0.46', '1.21', '0.05', '1.31']","['0.45', '1.19', '0.05', '1.29']","['-0.02', '-0.07', '0.00', '0.14', '0.35']","['98.09', '92.18', '57.35', '55.60', '64.13']"
130,Reliable Data Services Ltd,34.9,4.62,"['2.08', '2.16', '0.67', '2.98', '-0.24', '1.80', '1.60']","['2.02', '2.10', '0.65', '2.89', '-0.23', '1.74', '1.55']","['-0.98', '0.28', '0.99', '-1.17', '-0.87']","['29.72', '88.98', '93.35', '69.54', '103.43']"
131,Secmark Consultancy Ltd,34.9,12.5,"['0.31', '0.76', '-0.40', '1.97', '0.48']","['', '', '-0.97', '4.78', '1.16']","['0.00', '0.00', '0.00', '0.00', '0.00']","['121.67', '54.75', '32.85', '60.06', '41.18']"
132,Network People Services Technologies Ltd,46.9,17.2,"['0.36', '0.64']","['0.80', '0.99']","['-0.84', '-0.86', '0.30', '0.11']","['57.08', '50.93', '51.66', '175.36']"
133,B2B Software Technologies Ltd,19.4,15.9,"['-0.12', '0.14', '0.44', '0.38', '-0.05', '0.34', '0.44', '0.70']","['-0.10', '0.12', '0.38', '0.33', '-0.04', '0.29', '0.38', '0.60']","['0.21', '1.18', '0.63', '0.21', '0.34']","['40.89', '-106.45', '-177.66', '-99.85', '-10.84']"
134,Megri Soft Ltd,106,1.88,"['0.09', '0.07', '0.07', '0.12', '0.08', '0.07', '0.06', '0.12']","['0.29', '0.22', '0.22', '0.38', '0.25', '0.22', '0.19', '0.38']","['0.29', '0.99', '-1.15', '0.08', '0.07']","['79.48', '37.26', '18.02', '26.00', '68.17']"
135,Saven Technologies Ltd,15.3,11.3,"['0.62', '0.63', '0.62', '0.74', '0.59', '0.41', '0.53', '0.49']","['0.57', '0.58', '0.57', '0.68', '0.54', '0.38', '0.49', '0.45']","['0.44', '0.13', '0.98', '3.17', '4.29']","['372.27', '285.47', '191.66', '105.12', '114.11']"
136,Atishay Ltd,111,6.32,"['1.11', '0.41', '1.23', '0.35', '0.45', '0.58', '0.89', '0.66']","['1.01', '0.37', '1.12', '0.32', '0.41', '0.53', '0.81', '0.60']","['-0.77', '-0.14', '0.14', '-0.71', '-1.82']","['8.90', '6.93', '31.38', '117.77', '107.73']"
137,LCC Infotech Ltd,,-2.49,"['-0.01', '0.00', '-0.01', '0.00', '-0.03', '-0.08', '-0.07', '-0.32']","['-0.00', '0.00', '-0.00', '0.00', '-0.00', '-0.01', '-0.01', '-0.03']","['0.01', '0.11', '0.00', '0.01', '-0.05']","['304.08', '324.10', '554.59', '611.22', '618.14']"
138,Paramone Concepts Ltd,5.34,31.7,"['-6.63', '7.55', '-1.71', '-1.40', '-5.10', '0.87', '0.13', '0.80']","['-4.38', '4.99', '-1.13', '-0.93', '-3.37', '0.58', '0.09', '0.53']","['-0.06', '0.10', '-0.08', '-0.01', '0.02']","['0.00', '0.00', '88.70', '21.79', '42.96']"
139,Vivo Collaboration Solutions Ltd,13.2,116,['1.11'],['7.51'],"['0.74', '-0.67', '0.00']","['-110.91', '-102.41', '-114.65']"
140,Cranes Software International Ltd,,,"['-73.86', '-3.42', '-0.57', '-3.93', '-27.47', '-2.82', '-5.70', '1.18']","['-6.27', '-0.29', '-0.05', '-0.33', '-2.33', '-0.24', '-0.48', '0.10']","['-237', '-2', '5', '-6', '-2']","['570', '190', '197', '50', '13']"
