,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
108,Shree Global,1,233.00,0.81,"['-9.11', '--', '-40,180.50', '-1,980,370.43']","['0.37', '-0.16', '-12.93', '-0.92']","['-0.06', '-0.48', '-2.38', '-1.49']"
109,IIFL Finance,"1,050",14.03,1.98,"['1.38', '1.30', '1.40', '1.53']","['14.10', '10.54', '18.29', '16.75']","['22.18', '20.58', '21.59', '10.21']"
110,LIC Housing Fin,-37,7.88,1.05,"['1.23', '1.22', '1.26', '1.25']","['13.30', '13.15', '14.90', '14.03']","['10.68', '10.96', '10.13', '9.72']"
111,Optiemus Infra,31,11.00,3.15,"['-0.07', '-9.31', '0.10', '1.68']","['28.58', '-36.00', '-18.49', '4.46']","['-0.13', '-17.78', '0.79', '10.04']"
112,Summit Sec,-24,32.16,0.12,"['413.72', '--', '6,975.52', '1,582.86']","['0.37', '3.13', '14.43', '18.65']","['0.47', '2.86', '14.50', '21.23']"
113,Shriram City,"1,675",8.46,1.07,"['1.63', '1.61', '1.73', '1.64']","['12.67', '13.77', '15.21', '12.91']","['20.13', '22.18', '24.75', '10.17']"
114,Nalwa Sons,0,12.61,0.11,"['--', '--', '1,627.85', '403.61']","['0.84', '0.61', '2.29', '3.08']","['0.79', '0.27', '1.29', '2.44']"
115,Relic Life Scie,0,12.36,0.95,"['232.02', '20.66', '102.39', '18.92']","['7.36', '1.25', '20.16', '4.89']","['8.94', '2.22', '26.49', '6.44']"
116,Transwarranty,0,-1.88,0.34,"['0.14', '-2.27', '1.22', '2.17']","['-17.04', '-33.52', '1.14', '2.63']","['2.19', '-24.18', '8.38', '3.97']"
117,IDFC,-635,-22.44,0.92,"['16.37', '35.24', '31.34', '423.38']","['-4.09', '-11.95', '-8.08', '7.70']","['2.57', '1.08', '1.43', '1.60']"
118,Inventure Grow,0,1.98,1.33,"['26.01', '0.98', '-2.20', '3.02']","['6.73', '0.02', '-2.10', '2.51']","['10.10', '1.33', '-1.83', '5.18']"
119,Prime Sec,13,13.47,1.93,"['29.03', '49.82', '97.88', '862.11']","['14.34', '17.41', '50.56', '141.33']","['14.47', '20.50', '39.62', '132.88']"
120,ILandFS,-16,15.20,0.58,"['--', '--', '--', '--']","['3.75', '-6.23', '-6.26', '5.68']","['4.08', '-2.57', '6.79', '7.60']"
121,Motilal Oswal,448,7.38,2.07,"['4.59', '1.58', '1.74', '2.57']","['28.10', '5.94', '9.62', '21.56']","['23.64', '12.70', '10.61', '15.79']"
122,Delta Corp,-34,-180.17,2.23,"['-0.77', '51.50', '175.46', '22.99']","['-1.24', '9.49', '10.13', '9.24']","['-0.20', '12.93', '15.79', '13.76']"
123,Indiabulls Hsg,-440,7.09,0.54,"['1.23', '1.30', '1.58', '1.65']","['7.44', '14.15', '24.81', '28.66']","['16.42', '20.60', '21.45', '15.01']"
124,Parnax Lab,0,-45.35,0.51,"['0.98', '0.57', '2.19', '1.70']","['-1.11', '-8.88', '9.23', '3.24']","['9.63', '4.81', '14.56', '14.63']"
